,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
78,JOSE TAVARES DA SILVA,TAVARES DE BETOCA,IBOTIRAMA,PP,ELEITO POR MÉDIA,566,0.0,2868.31
79,JONATHAS GOMES AZEVEDO,DHOW DA DIVISA,MUCURI,PROS,ELEITO POR QP,564,0.0,750.0
80,MARCELO NUNES DE OLIVEIRA,MARCELO NUNES,TREMEDAL,PROS,ELEITO POR QP,563,0.0,1000.0
81,ERNANDI RAMOS DE MAGALHÃES,NANDO,MUQUÉM DO SÃO FRANCISCO,PSB,ELEITO POR QP,559,0.0,5315.0
82,UELINGTON DA SILVA,KEKO DO BENONE,PAULO AFONSO,AVANTE,ELEITO POR QP,558,0.0,956.36
83,ROBSON LUIZ LEMOS DOS SANTOS,ROBSON LUIZ ,ENTRE RIOS,PP,ELEITO POR MÉDIA,557,0.0,500.0
84,AGNALDO CARNEIRO DE FREITAS,AGNALDO FREITAS,SÃO DOMINGOS,PSD,ELEITO POR QP,556,0.0,6600.0
85,JUDSON ALMEIDA DE SOUZA,LIRA DA FARMÁCIA,BOQUIRA,PSD,ELEITO POR QP,553,0.0,1304.0
86,EVERTON MATHEUS SILVA OLIVEIRA,EVERTON OLIVEIRA,CALDEIRÃO GRANDE,DEM,ELEITO POR QP,551,0.0,1900.0
87,LUCIANA PIRES DE OLIVEIRA,LUCIANA DA LOOK GÁS,PRADO,PSD,ELEITO POR MÉDIA,551,0.0,0.0
88,ROBSON RODRIGUES DE VASCONCELOS,ROBSON DE CÉU,MUQUÉM DO SÃO FRANCISCO,PSB,ELEITO POR QP,548,0.0,5090.02
89,JOAO BATISTA PEREIRA,BATISTA,FILADÉLFIA,PSC,ELEITO POR QP,539,0.0,1800.0
90,WARLLES SENA DOS SANTOS,WARLLES DE RUTA,MALHADA,PT,ELEITO POR QP,531,0.0,28.0
91,JOAO LUIZ RAMOS DE OLIVEIRA,JOTA DE TERMICIO,BURITIRAMA,PP,ELEITO POR QP,530,0.0,250.0
92,ROBERTO CARLOS CASAES RAMOS,CARRINHO DE ALTINO,ANTÔNIO CARDOSO,PODE,ELEITO POR QP,525,0.0,800.0
93,TEONIS LINS FREITAS,THÉO,AMÉLIA RODRIGUES,PSD,ELEITO POR MÉDIA,522,0.0,300.0
94,EDSON BATISTA BARBOSA,PROFESSOR EDSON,FORMOSA DO RIO PRETO,PSD,ELEITO POR QP,522,0.0,400.13000000000005
95,IOLVAN DA SILVA BISPO,PROFESSOR VOCA,OLIVEIRA DOS BREJINHOS,PSD,ELEITO POR MÉDIA,522,0.0,2010.0
96,JORGE ROCHA DA CRUZ,JUCO DO POVO,ITAPARICA,PSB,ELEITO POR QP,521,0.0,0.0
