,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
215,UBIRATAM DOS SANTOS,UBIRATAM DA SAÚDE,MALHADA,AVANTE,ELEITO POR QP,377,0.0,28.0
216,EVERALDO ALVES DE OLIVEIRA,EVERALDO DE JACARECI,CAMACÃ,PP,ELEITO POR QP,377,0.0,0.0
217,GERALDO DOS SANTOS GONCALVES,GERALDO,SÃO FÉLIX,DEM,ELEITO POR QP,376,0.0,203.0
218,CARLOS NASCIMENTO MELO,KOKA DE ZÉ DE HENRIQUE,GLÓRIA,PP,ELEITO POR QP,375,0.0,6250.0
219,CLOVES ROCHA OLIVEIRA,CLOVES DE OTACINA,MANSIDÃO,PP,ELEITO POR QP,373,0.0,0.0
220,SALVADOR DE JESUS PEREIRA,SALVADOR,BOA NOVA,PP,ELEITO POR QP,372,0.0,500.0
221,DOUGLAS CERQUEIRA DA CONCEIÇÃO,DOUGLINHAS,ITAPARICA,PT,ELEITO POR MÉDIA,372,0.0,200.0
222,WILLIANS SOUZA DA FONSECA,PROFESSOR WILLIANS,JANDAÍRA,PV,ELEITO POR QP,371,0.0,0.0
223,SILVIO ROMERO ALMEIDA DE CARVALHO,ROMERO,RODELAS,PP,ELEITO POR QP,370,0.0,3135.0
224,JARCIONILDO JOSÉ DE SOUZA,JARÇO DO RAULINO,BAIANÓPOLIS,PL,ELEITO POR QP,367,0.0,0.0
225,ALESSANDRO PASSOS DA SILVA,SANDRO,NILO PEÇANHA,PT,ELEITO POR QP,367,0.0,0.0
226,JENIVALDO ALVES DOS SANTOS,JENE DO POVO,ARATUÍPE,PT,ELEITO POR QP,367,0.0,740.0
227,LEANDRO SANTOS DE SOUZA,LEANDRO,CARAVELAS,DC,ELEITO POR MÉDIA,367,0.0,261.5
228,OCLECIO BATISTA DE ALMEIDA,CLECINHO DO TÓ,FILADÉLFIA,PL,ELEITO POR QP,366,0.0,800.0
229,JANETE SILVA DOS SANTOS ARGOLO,NETE ARGOLO,LAJE,PL,ELEITO POR QP,365,0.0,0.0
230,GIVALDO JOSE ANES MACHADO,GIVALDO DA AMBULANCIA,ITACARÉ,REPUBLICANOS,ELEITO POR QP,364,0.0,175.95
231,JOEL DO BOMFIM ALVES,JOEL BOMFIM,COTEGIPE,PSD,ELEITO POR MÉDIA,364,0.0,240.0
232,ANTONIO BARROS DA CAPELA FILHO,CAPELA,ITAJU DO COLÔNIA,PSD,ELEITO POR QP,364,0.0,917.6
233,DIEGO GARCIA TEIXEIRA,DIEGO DA SAUDE,ALCOBAÇA,PSB,ELEITO POR MÉDIA,364,0.0,200.0
234,EDSON DA SILVA PEREIRA,EL DE CELÉ,ANGUERA,PODE,ELEITO POR QP,361,0.0,0.0
235,MARCOS JOSE RIOS FIGUEIREDO,MARCOS RIOS,TERRA NOVA,REPUBLICANOS,ELEITO POR QP,360,0.0,0.0
236,ANTÔNIO BENIGNO TELES,TOINHO DE TOTONHO,PEDRO ALEXANDRE,PSD,ELEITO POR QP,360,0.0,1000.0
237,MIGUEL CAMPOS JUNIOR,MIGUEL CAMPOS,GLÓRIA,PP,ELEITO POR MÉDIA,360,0.0,5950.0
238,WILLIAN CARNEIRO SILVA,WILLIAN DA AREIA,ANGUERA,PODE,ELEITO POR MÉDIA,359,0.0,0.0
239,JOSÉ ANTONIO SANTOS BOMFIM,ÍNDIO EVENTOS,CAMACÃ,PSD,ELEITO POR QP,358,0.0,133.32999999999998
240,ELIANE PEREIRA NASCIMENTO,ANE A GALEGA,NILO PEÇANHA,DEM,ELEITO POR MÉDIA,357,0.0,2700.0
241,SILVINO CONCEIÇÃO DOS SANTOS,DIDO,SÃO FÉLIX,DEM,ELEITO POR MÉDIA,352,0.0,203.0
242,LADSON ROCHA DA SILVA,LADSON DE LUIZ DE ZUQUINHA,GOVERNADOR MANGABEIRA,PSD,ELEITO POR MÉDIA,352,0.0,0.0
243,DOMINGO PEREIRA ALVES,AILTON DO MERCADO,PRADO,PP,ELEITO POR MÉDIA,351,0.0,128.0
244,CLAUDIONOR MENEZES DA SILVA,CLAÚDIO CABELEIREIRO,BOA NOVA,PP,ELEITO POR QP,350,0.0,500.0
245,VALDEMIRE SIMOES DE ARAUJO,MIRE,LAMARÃO,PSD,ELEITO POR QP,349,0.0,500.0
246,JOÃO DE SOUZA ALVES,JOÃO MORÃO,CONCEIÇÃO DA FEIRA,PT,ELEITO POR MÉDIA,349,0.0,610.99
247,DOMINGOS DOS SANTOS SANTANA,DOMINGUINHOS,RAFAEL JAMBEIRO,DEM,ELEITO POR MÉDIA,349,0.0,475.0
248,JOSE MARCOS DA SILVA BITTENCOURT,BATATA DO ESPORTE,TERRA NOVA,CIDADANIA,ELEITO POR QP,349,0.0,0.0
249,LUIS FERNANDO DOS SANTOS PEREIRA,FERNANDO,MEDEIROS NETO,PT,ELEITO POR MÉDIA,348,0.0,4585.4
250,MARIA DA CONCEIÇÃO SILVA GONÇALVES,CONCEIÇÃO GONÇALVES,SÃO SEBASTIÃO DO PASSÉ,PTB,ELEITO POR MÉDIA,347,0.0,0.0
251,DELSON BISPO DE SOUZA,DELSON DA CONQUISTA,CAFARNAUM,PT,ELEITO POR QP,346,0.0,0.0
252,FLORISVALDO MORAIS DOS SANTOS,FLORISVALDO LÔ,ANAGÉ,PSB,ELEITO POR MÉDIA,343,0.0,0.0
253,TEREZINHA CONCEIÇÃO DO AMOR DIVINO,ANE DO SINDICATO,GOVERNADOR MANGABEIRA,PT,ELEITO POR MÉDIA,343,0.0,250.0
254,JUCELINO CERQUEIRA GAMA,JUTE GAMA,SANTA TEREZINHA,PP,ELEITO POR MÉDIA,342,0.0,400.0
255,LUCIANO BARROS NASCIMENTO DE OLIVEIRA,LUCIANO OLIVEIRA,BELMONTE,PC do B,ELEITO POR QP,341,0.0,0.0
256,JOSE CARLOS MOREIRA,CARLINHOS DO BREJO,GLÓRIA,PSD,ELEITO POR QP,340,0.0,2850.0
257,ALLISON SANTANA ALMEIDA,ALLISON SANTANA,MACAJUBA,MDB,ELEITO POR QP,339,0.0,1045.0
258,ADILTON GOMES DA CRUZ,BIRO DO FOJO,ITACARÉ,PT,ELEITO POR QP,339,0.0,75.95
259,JOSE CONCEIÇÃO DE JESUS,ZECA CACIQUE,PRADO,PC do B,ELEITO POR MÉDIA,338,0.0,0.0
260,JOSE ANDRADE DOS SANTOS JUNIOR,JUNIOR DO BOM JESUS,ITAJU DO COLÔNIA,PSD,ELEITO POR QP,335,0.0,67.6
261,WILSON BISPO DE JESUS,WILSON DO MICRO ÔNIBUS,TERRA NOVA,PTC,ELEITO POR QP,335,0.0,0.0
262,ADOALDO MESQUITA PINHEIRO,IRMÃO ALDO,NOVA REDENÇÃO,PT,ELEITO POR QP,334,0.0,1397.5
263,JANIO DE OLIVEIRA ALMEIDA,JANIO,CONDE,PSD,ELEITO POR MÉDIA,332,0.0,0.0
264,NILDA DOS REIS JURITI DA SILVA,NILDA MOURA,LAMARÃO,PT,ELEITO POR QP,332,0.0,500.0
265,EDIVALDO ALVES DOS SANTOS JUNIOR,ABIL PAREDÃO,ARAÇÁS,DEM,ELEITO POR QP,331,0.0,2457.58
266,PAULO SANTOS BOTELHO,PAULO DO PENACHINHO,BOA NOVA,PSD,ELEITO POR MÉDIA,331,0.0,544.0
267,JAILSON DE OLIVEIRA DAMASCENO,JAI DE ZÉ VERMELHO,LAMARÃO,PSD,ELEITO POR QP,330,0.0,500.0
268,JOSÉ SILVEIRA LINO FILHO,ZÉ SILVEIRA,AMÉLIA RODRIGUES,PC do B,ELEITO POR MÉDIA,330,0.0,0.0
269,DENIS MESSIAS SENE OLIVEIRA,DENIS MESSIAS,MANSIDÃO,PP,ELEITO POR MÉDIA,329,0.0,0.0
270,ANILSON SOUZA DA HORA,ANILSON DO GELO,CAMAMU,REDE,ELEITO POR MÉDIA,328,0.0,129.0
271,ROSINEIDE ALVES DE AMORIM,ROSA DE JORGE,RODELAS,PP,ELEITO POR MÉDIA,325,0.0,3135.0
272,ADAO MILTON BATISTA PIRES,DÃO DO GALDINO,CRISTÓPOLIS,PSB,ELEITO POR QP,323,0.0,1880.4
273,REGINALDO VITORIO SOUSA,REGE PRETO,SANTANÓPOLIS,PP,ELEITO POR QP,323,0.0,563.0
274,HUMBERTO DE ALENCAR CAMPOS,BETO CABEÇÃO,SANTA BÁRBARA,PTB,ELEITO POR QP,323,0.0,325.0
275,VALDEMAR RIBEIRO DE OLIVEIRA,VAVÁ DE BECA,CABACEIRAS DO PARAGUAÇU,MDB,ELEITO POR QP,322,0.0,0.0
276,IVAN FERNANDES DOS SANTOS,BUBU DE CARLINHOS,OURIÇANGAS,PSB,ELEITO POR QP,319,0.0,250.0
277,EDMILSON SILVA AMORIM,EDMILSON DA CABECEIRA,GUARATINGA,DEM,ELEITO POR QP,318,0.0,0.0
278,GERSER OLIVEIRA SOUSA,GERSER,ITAJU DO COLÔNIA,PT,ELEITO POR QP,317,0.0,417.6
279,VALDIR SOUZA CARVALHO,VALDIR CARVALHO,NOVA VIÇOSA,PSD,ELEITO POR MÉDIA,317,0.0,1500.0
280,EDSON PAULINO DA SILVA,GUEM DE BIÉ,SANTA TEREZINHA,PSB,ELEITO POR QP,316,0.0,0.0
281,JOELCIO SANTOS BISPO,JOELCIO,MACAJUBA,MDB,ELEITO POR MÉDIA,315,0.0,1245.0
282,DIONISIO DOS SANTOS SILVA FILHO,KÉU SANTOS,MORPARÁ,PSB,ELEITO POR QP,314,0.0,372.0
283,VALMIR DE JESUS SANTOS,VALMIR SEMPRE PRESENTE,MUNIZ FERREIRA,PC do B,ELEITO POR QP,313,0.0,120.0
284,MIGUEL PEREIRA SANTOS,MIGUEL DA MATINHA,ITACARÉ,PL,ELEITO POR MÉDIA,313,0.0,75.95
285,ALAN MENEZES LIRIO,ALAN DE MINDE,MUNIZ FERREIRA,PSC,ELEITO POR QP,312,0.0,1020.0
286,TATIANE DA SILVA ANDRADE,TATY DA SAÚDE,BOA NOVA,PP,ELEITO POR MÉDIA,312,0.0,500.0
287,EDGAR CARLOS ALVES SILVA,EDGAR,MUNIZ FERREIRA,PP,ELEITO POR MÉDIA,311,0.0,150.0
288,CARLOS MOREIRA DE OLIVEIRA,CARLINHOS MOREIRA,BOM JESUS DA SERRA,PSD,ELEITO POR QP,311,0.0,300.0
289,EDSON CARDOSO DOS SANTOS,CACHOEIRA DO BOLO,SOBRADINHO,PDT,ELEITO POR QP,311,0.0,1800.0
290,JOEL DA SILVA PEREIRA,JOEL CDS,ITUBERÁ,DEM,ELEITO POR QP,311,0.0,80.0
291,IKARO ISRAEL SANTOS CAIRO VENTURA,IKARO ISRAEL,NILO PEÇANHA,PT,ELEITO POR QP,310,0.0,0.0
292,JILVERIO ALMEIDA SILVA,VERO,MARCIONÍLIO SOUZA,PTB,ELEITO POR MÉDIA,310,0.0,750.0
293,PERICLES DE SANTANA COSTA,PASSINHO,TERRA NOVA,REPUBLICANOS,ELEITO POR MÉDIA,309,0.0,0.0
294,FRANKLIN DA SILVA REZENDE,NINO,SANTA INÊS,PT,ELEITO POR QP,306,0.0,540.0
295,ANTONIO BALBINO DIAS CONCEICAO,NENEU,SÃO FÉLIX,PODE,ELEITO POR MÉDIA,306,0.0,58.0
296,EDMILSON FREITAS SANTOS,MILSON FREITAS,FIRMINO ALVES,PSD,ELEITO POR QP,305,0.0,840.0
297,ADRIANO ROCHA DOS SANTOS,GALIANO CIRINEU,ANDARAÍ,PSB,ELEITO POR MÉDIA,305,0.0,0.0
298,EDVALDO SANTANA DA HORA,EDVALDO IRMAO,SAUBARA,MDB,ELEITO POR QP,305,0.0,0.0
299,PAULINE DE SOUSA PORTO,PAULINE PORTO,MACARANI,PSD,ELEITO POR QP,304,0.0,1635.37
300,EDENILSON SILVA DE OLIVEIRA,NICE DE SANTA BARBARA,MUQUÉM DO SÃO FRANCISCO,PSB,ELEITO POR MÉDIA,304,0.0,5200.0
301,JACI SANTANA MOREIRA,JUCI DA ZONA RURAL,ARATUÍPE,PSD,ELEITO POR QP,302,0.0,150.0
302,LEONARDO DIOGO DOS SANTOS,PI DA GAMELEIRA,OURIÇANGAS,PT,ELEITO POR QP,302,0.0,250.0
303,EMANOEL LACERDA DE SOUZA,NEO DE AMÁLIA,MACARANI,PP,ELEITO POR QP,302,0.0,110.0
304,ODILEI QUEIROZ MATOS,ODILEI,PRADO,PT,ELEITO POR MÉDIA,302,0.0,0.0
305,BARTOLOMEU ALVES DOS SANTOS JUNIOR,JOTA,MUNIZ FERREIRA,PTC,ELEITO POR QP,300,0.0,200.0
306,ALDOBERTO MARINHO DOS SANTOS,DACO,BELMONTE,PT,ELEITO POR QP,298,0.0,0.0
307,ALVIRENE DE SOUZA OLIVEIRA BRITO,PROFESSORA ALVIRENE,ESPLANADA,PV,ELEITO POR QP,298,0.0,115.91
308,MARCOS ROBERTO DA SILVA DA PAZ,MARQUINHOS,CABACEIRAS DO PARAGUAÇU,PDT,ELEITO POR QP,298,0.0,0.0
309,GIVALDO FERREIRA SANTOS,VADÃO FERREIRA,SANTANÓPOLIS,PT,ELEITO POR MÉDIA,297,0.0,200.0
310,NORMANDA TORRES SENA,NORMANDA,WAGNER,PSD,ELEITO POR QP,294,0.0,500.0
311,JACIEL ANTONIO DOS SANTOS,JACIEL,SALINAS DA MARGARIDA,PL,ELEITO POR QP,291,0.0,250.0
312,EDILENE MARIA DE JESUS,PROFESSORA DILA,MACARANI,PSD,ELEITO POR MÉDIA,291,0.0,702.2
313,JOÃO MIRANDA COSTA,JOÃO MIRANDA,CARAVELAS,DEM,ELEITO POR QP,291,0.0,461.5
314,RAMON OLIVEIRA DE CARVALHO,RAMON MACEDO,JANDAÍRA,PV,ELEITO POR MÉDIA,290,0.0,0.0
315,EVERALDO BARBOSA DOS SANTOS,EVERALDO BARBOSA,SÃO FELIPE,PT,ELEITO POR MÉDIA,286,0.0,0.0
316,MIGUEL VIANA DA SILVA,MIGUEL VIANA,BURITIRAMA,DEM,ELEITO POR QP,286,0.0,200.0
317,MARIZÉ RODRIGUES DE JESUS,ZÉO DA BANANA,TEOLÂNDIA,MDB,ELEITO POR MÉDIA,285,0.0,0.0
318,JASONILDO VITORIO DE AQUINO,JAU DE JASON,TERRA NOVA,CIDADANIA,ELEITO POR MÉDIA,285,0.0,0.0
319,PEDRO REIS DOS SANTOS,PEDRÃO,ITACARÉ,PC do B,ELEITO POR QP,285,0.0,75.95
320,TADEU ANTONIO DE AMORIM CARNEIRO,TADEU DE MANECA,CANDEAL,PODE,ELEITO POR QP,282,0.0,0.0
321,LEANDRO BARBOSA SOUZA,IRMÃO LEANDRO,ALCOBAÇA,PMN,ELEITO POR QP,281,0.0,0.0
322,ROQUE NELSON DA SILVA,BAHIA,SÃO FÉLIX,REPUBLICANOS,ELEITO POR MÉDIA,280,0.0,58.0
323,DIEGO AUGUSTO MORAES SILVA,DIEGO DE BIDAL,ITACARÉ,PT,ELEITO POR MÉDIA,279,0.0,3075.9500000000003
324,DORIVAL FREITAS MACEDO,SARGENTO DORIVAL,ITAETÉ,PSOL,ELEITO POR MÉDIA,279,0.0,220.0
325,JOGLAS MANOEL ESTEVÃO DOS SANTOS,JOGLAS ESTEVÃO,CAIRU,PL,ELEITO POR MÉDIA,278,0.0,180.0
326,CLAUDEMIR GALDINO FREIRE,CEBO,BOM JESUS DA SERRA,PC do B,ELEITO POR MÉDIA,276,0.0,0.0
327,ARISTON TELES DA SILVA,ARISTON TELES,NOVA REDENÇÃO,PT,ELEITO POR QP,275,0.0,1447.5
328,JASSON PORFIRIO DOS SANTOS,DAI DA SERRA,URUÇUCA,PSDB,ELEITO POR MÉDIA,274,0.0,0.0
329,TAYNALLE ARAUJO PINHEIRO BACELLAR,TAYNALLE,LAMARÃO,PSD,ELEITO POR QP,273,0.0,500.0
330,GILSON PARANHOS DUARTE,GILSON DA SAUDE,SANTA BRÍGIDA,PP,ELEITO POR MÉDIA,271,0.0,1280.0
331,MARTINHO FERREIRA DA SILVA,DEDA,TANQUINHO,PP,ELEITO POR QP,271,0.0,0.0
332,GRACIANO BITTENCOURT PEREIRA,GRACIANO,CAATIBA,PL,ELEITO POR QP,270,0.0,203.5
333,EDSON JOSÉ DE SANTANA SOBRINHO,PROFESSOR EDSON SANTANA,JANDAÍRA,PSD,ELEITO POR MÉDIA,269,0.0,0.0
334,ANTONIO MARQUES DE SOUSA DE JESUS,TOIM DEDINHO,ITAJU DO COLÔNIA,PL,ELEITO POR QP,268,0.0,2000.0
335,ERALDO DE FREITAS CARVALHO FILHO,AMBROSIO,LAMARÃO,PSD,ELEITO POR QP,267,0.0,500.0
336,JAMILSON DE ARAUJO DA SILVA,JAU DA BARRA,ICHU,PL,ELEITO POR QP,266,0.0,1170.0
337,NEILTON JOSE DA ASSUNÇÃO SANTANA,NEU VEREADOR,IGRAPIÚNA,REPUBLICANOS,ELEITO POR QP,265,0.0,0.0
338,FÁBIO DA COSTA SANTOS,FABINHO DO QUINJÍ,LAMARÃO,PT,ELEITO POR QP,260,0.0,500.0
339,ANDREIA DA SILVA SANTOS,ANDREIA DE NETO,SAÚDE,PSDB,ELEITO POR QP,260,0.0,450.0
340,CÁSSIO LOPES DOS REIS,CÁSSIO REIS,ITUBERÁ,PV,ELEITO POR MÉDIA,260,0.0,1160.0
341,MAXÇOEL SOUZA DOS SANTOS,MAXÇOEL SOUZA,ARATUÍPE,REPUBLICANOS,ELEITO POR QP,259,0.0,0.0
342,EVERSON DOS SANTOS SOUZA,EVERSON SOUZA MORCEGÃO,PIRAÍ DO NORTE,PSDB,ELEITO POR QP,259,0.0,949.0
343,ANTONIO SANTOS DA ANUNCIAÇÃO,BANANA Ê,SALINAS DA MARGARIDA,PSB,ELEITO POR QP,258,0.0,970.0
344,FABRÍCIO FERNANDES DE SANTANA,PROFESSOR FABRÍCIO,ARATACA,PSD,ELEITO POR QP,255,0.0,600.0
345,NILDO DA SILVA SOUZA,NILDO DO MST,IGRAPIÚNA,PT,ELEITO POR QP,254,0.0,0.0
346,JOSÉ MOREIRA DOS SANTOS,ZÉ DE HERMÓGENES,ITANAGRA,PP,ELEITO POR QP,253,0.0,0.0
347,EVERALDO ROCHA MENDONÇA,EVERALDO MENDONÇA,BOM JESUS DA SERRA,PSD,ELEITO POR MÉDIA,253,0.0,200.0
348,NAILSON DE JESUS SILVA FERNANDES,IRMÃO NAILSON,CAMACÃ,REPUBLICANOS,ELEITO POR QP,251,0.0,0.0
349,JOSÉ ANTÔNIO DE SANTANA NETO,NETINHO,FIRMINO ALVES,PSD,ELEITO POR QP,251,0.0,840.0
350,JOSÉ FAUSTO DE OLIVEIRA VISITA,PETECA,LAMARÃO,PT,ELEITO POR QP,251,0.0,500.0
351,RONILSON ALVES SANTOS,BOCA DO BONFIM,BOM JESUS DA SERRA,PROS,ELEITO POR QP,251,0.0,1030.0
352,JOSE BAILTON CORREIA LEAO DE ALMEIDA,BAILTON LEAO,ÁGUA FRIA,PSD,ELEITO POR MÉDIA,249,0.0,232.15
353,FABIO DA SILVA SAMPAIO,FABIO DE PRETO,MUNIZ FERREIRA,PSC,ELEITO POR MÉDIA,248,0.0,1020.0
354,ALEX PEREIRA PITON,ALEX DENTISTA,DOM MACEDO COSTA,PT,ELEITO POR QP,247,0.0,30.0
355,JOAOZITO DAMIAO MOTA,ZITINHO DA CAÇAMBA,LAMARÃO,PSD,ELEITO POR MÉDIA,247,0.0,500.0
356,FAUSTO RODRIGUES DOS SANTOS NETO,GALO,MUQUÉM DO SÃO FRANCISCO,PL,ELEITO POR QP,246,0.0,950.0
357,JOSE ALVES SANTOS,ZE PESAO,CAATIBA,PL,ELEITO POR MÉDIA,244,0.0,208.0
358,JAIR COMETTI,JAIR DO MARISCO,CARAVELAS,PP,ELEITO POR QP,243,0.0,461.5
359,JOSE IVAN SANTOS PAZ,IVAN,OURIÇANGAS,DEM,ELEITO POR QP,240,0.0,3927.5
360,VALTER MARTINS REIS,VALTINHO,AMÉLIA RODRIGUES,PDT,ELEITO POR MÉDIA,239,0.0,300.0
361,TALES GONÇALVES OLIVEIRA,TALES,ITAJU DO COLÔNIA,PSD,ELEITO POR MÉDIA,238,0.0,1147.6
362,JUCIMAR GUIMARÃES DOS SANTOS,CIMAR DO BEIRA RIO,NOVA REDENÇÃO,PT,ELEITO POR QP,238,0.0,597.5
363,WAGNER TEIXEIRA SOARES,WAGNER DE CURUNGA,ITAPEBI,PODE,ELEITO POR QP,235,0.0,0.0
364,MAURICIO DOS SANTOS,MAURICIO DE ZEZITO,JANDAÍRA,PT,ELEITO POR MÉDIA,233,0.0,0.0
365,JOSAFA BARRETO DE ALMEIDA,JOSAFA,IBIQUERA,PP,ELEITO POR QP,230,0.0,1600.0
366,ELITON LAFITE CARVALHO,PROFESOR ELITON LAFITE,SÃO FÉLIX,PSD,ELEITO POR QP,228,0.0,0.0
367,LEOCESIO DA SILVA MUTI,LEOCESIO MUTI,LAMARÃO,PT,ELEITO POR MÉDIA,225,0.0,500.0
368,ANGELO MAXIMO DOS SANTOS,ANGELO DO POÇO,ANTÔNIO CARDOSO,PSB,ELEITO POR MÉDIA,225,0.0,4000.0
369,DECIO FREIRE COITÉ FILHO,DÉCIO FILHO,ANGICAL,PL,ELEITO POR MÉDIA,224,0.0,359.38
370,ROBERTO MAGALHÃES DE JESUS,ROBERTO DO SMART,ITACARÉ,DEM,ELEITO POR QP,224,0.0,200.0
371,SILVESTRE SANTOS BRITO,NETO BUNDA,IBIRATAIA,PSD,ELEITO POR MÉDIA,221,0.0,0.0
372,ROQUE MORAES LIMA,ROQUE LIMA,IRAJUBA,PSD,ELEITO POR QP,221,0.0,0.0
373,CARIVALDO SOARES DE BRITO,CARI,LAJEDINHO,PSD,ELEITO POR QP,220,0.0,1293.75
374,LEVI SANTOS SPINOLA,PITBULL,GONGOGI,REPUBLICANOS,ELEITO POR QP,220,0.0,463.75000000000006
375,JOCELINO DA SILVA RIBEIRO,JOCELINO RIBEIRO,ITAQUARA,PSB,ELEITO POR MÉDIA,220,0.0,0.0
376,NOELMIR DA SILVA FONTANA,NOELMIR,IRAJUBA,PP,ELEITO POR QP,217,0.0,694.5
377,NIRLEN RAFAEL FERREIRA DE SOUZA,RAFAEL BUIQUINHO,UBAITABA,PSD,ELEITO POR QP,215,0.0,1600.0
378,EDENICIO DURVAL DOS SANTOS,NINO DE CATAUM,ITAJU DO COLÔNIA,PL,ELEITO POR QP,214,0.0,2000.0
379,REGINALDO PEDRO ARAUJO,REGE DO FORMIGUEIRO,ICHU,PL,ELEITO POR MÉDIA,211,0.0,0.0
380,JENIVALDO SANTOS DA SILVA,PIVÔ DE VIEIRA,SANTA LUZIA,PSD,ELEITO POR QP,211,0.0,543.4200000000001
381,ROSALVO BISPO DE JESUS,ROSALVO,LAJEDINHO,PSD,ELEITO POR QP,210,0.0,1293.75
382,FRANCISCO RODRIGUES DE SOUZA,CHIQUINHO DO PAU DARCO,ITANAGRA,PT,ELEITO POR QP,209,0.0,0.0
383,HEIDER CAETANO MARINHO,HEIDER,SALINAS DA MARGARIDA,PT,ELEITO POR MÉDIA,209,0.0,1721.0
384,PAULO RICARDO BONFIM,RICARDO ELETRICISTA,IGRAPIÚNA,REPUBLICANOS,ELEITO POR MÉDIA,208,0.0,1000.0
385,IVO ALVES SOARES,PROFESSOR IVO SOARES,NOVA REDENÇÃO,PT,ELEITO POR MÉDIA,208,0.0,1397.5
386,CLEVISSON JESUS DE MACEDO,CLEBÃO,CRISTÓPOLIS,DEM,ELEITO POR MÉDIA,207,0.0,380.4
387,ERIVAN DE JESUS REIS,VAN DO POSTO JK,LAJEDINHO,PSD,ELEITO POR QP,206,0.0,1293.75
388,ELIELSON SILVA DOS SANTOS,ELIELSON DA JULIANA,PIRAÍ DO NORTE,PP,ELEITO POR QP,205,0.0,949.0
389,ANTONIO GOMES FILHO,TOINHO DO AREAL,AMÉLIA RODRIGUES,PSB,ELEITO POR QP,205,0.0,600.0
390,SIMÃO CAVALCANTE LUCAS,SIMÃO,JUSSARI,PSD,ELEITO POR QP,204,0.0,1083.26
391,LUCIANO DOS SANTOS,KENO,ITANAGRA,MDB,ELEITO POR QP,204,0.0,0.0
392,SUZANA ROCHA DE SOUZA,SUZANA ROCHA,ITAJU DO COLÔNIA,PT,ELEITO POR QP,204,0.0,40.0
393,ADELAIDE BATISTA ROCHA DE SOUZA,ADELAIDE DEDÉ,AMÉLIA RODRIGUES,PSB,ELEITO POR MÉDIA,204,0.0,600.0
394,GENILTO SAMPAIO SILVA,BONE DO ESPORTE,ELÍSIO MEDRADO,PT,ELEITO POR QP,204,0.0,250.0
395,DANNIS DIAS DE SOUZA,CAPIM GROSSO,CABACEIRAS DO PARAGUAÇU,MDB,ELEITO POR MÉDIA,203,0.0,0.0
396,MANOEL BONFIM SERRA,SÓ ALEGRIA,DOM MACEDO COSTA,PT,ELEITO POR MÉDIA,203,0.0,0.0
397,JOÃO BATISTA DOS ANJOS,JOÃO DE NÁ,MIRANGABA,SOLIDARIEDADE,ELEITO POR QP,203,0.0,3240.0
398,MOACYR ASSIS DOS SANTOS,IRMÃO MOACYR,ARAMARI,PSB,ELEITO POR QP,202,0.0,161.01
399,SDNEY RAMOS DA SILVA,SID,ITANAGRA,PT,ELEITO POR MÉDIA,196,0.0,0.0
400,JOSE ROBERTO JESUS DE SOUZA,BETO DO SINDICATO,BELMONTE,REPUBLICANOS,ELEITO POR QP,195,0.0,100.0
401,ELOIZIO LIMA REIS,ELÓI,ARAMARI,PSB,ELEITO POR MÉDIA,194,0.0,161.01
402,IVANILTON PRATES DE SOUZA,IVANILTON,BOM JESUS DA SERRA,PODE,ELEITO POR QP,189,0.0,0.0
403,FABIANO DE JESUS SAMPAIO,FABIANO SAMPAIO,FIRMINO ALVES,PDT,ELEITO POR QP,189,0.0,580.0
404,ROSÁLIA DA SILVA MARQUES SANTOS,ROSÁLIA,LAJEDINHO,PSD,ELEITO POR QP,186,0.0,1293.75
405,JOILTON GOMES BADARO,JOILTON BADARÓ,ARAÇÁS,DEM,ELEITO POR MÉDIA,186,0.0,2473.58
406,ANA MARIA DA CRUZ DOS SANTOS,ANA CRUZ,COARACI,PDT,ELEITO POR MÉDIA,185,0.0,258.02
407,JOSE ALVES DOS SANTOS FILHO,JOTA,ITAJU DO COLÔNIA,PT,ELEITO POR MÉDIA,185,0.0,957.6
408,JOSE RICARDO CALAZANS DA SILVA,IRMÃO BORGES,CANDEAL,REPUBLICANOS,ELEITO POR MÉDIA,182,0.0,0.0
409,ANTONIO AUGUSTO DE JESUS,AUGUSTO,CARDEAL DA SILVA,PP,ELEITO POR QP,178,0.0,0.0
410,JOSIEL SOARES DO AMPARO,JOSIEL AMPARO,PIRAÍ DO NORTE,PP,ELEITO POR MÉDIA,178,0.0,962.0
411,JOSE NILTON CARDOSO DOS SANTOS,NILTON CARDOSO,OURIÇANGAS,PSD,ELEITO POR QP,176,0.0,3107.5
412,ALEX GONÇALVES DOS SANTOS,ALEX COXINHA,JUSSARI,PSD,ELEITO POR QP,175,0.0,683.26
413,RUBEM ALMEIDA DE OLIVEIRA,RUBEM MADEIROL,CONDE,DEM,ELEITO POR MÉDIA,172,0.0,0.0
414,LOURIVAL LEAL DOS SANTOS,LOURO PRESENÇA,ITANAGRA,PROS,ELEITO POR QP,168,0.0,0.0
415,MARILZA PEREIRA GOMES,MARILZA QUILOMBOLA,ITAGUAÇU DA BAHIA,PT,ELEITO POR MÉDIA,167,0.0,450.0
416,JOAO ALVES DE SOUZA NETO,NETO DA LIMPEZA,ACAJUTIBA,PSD,ELEITO POR QP,164,0.0,700.0
