,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
5641,OSMARIO LACERDA FERRAZ DE MELO,OSMÁRIO,VITÓRIA DA CONQUISTA,MDB,SUPLENTE,2004,2000.0,3460.0,0.998003992015968
14369,JULIANO DE OLIVEIRA FERREIRA,JULIANO FERREIRA,CAMACÃ,PSB,ELEITO POR MÉDIA,301,300.0,433.33,0.9966777408637874
23144,ITALO SOUZA PARNAIBA,DR ITALO PARNAIBA,SERRA DO RAMALHO,PSC,SUPLENTE,151,150.45,2030.0,0.9963576158940397
4282,RAIMUNDO JOSÉ DE SOUZA SANTOS,RAIMUNDÃO,FEIRA DE SANTANA,SOLIDARIEDADE,NÃO ELEITO,793,790.0,240.0,0.9962168978562421
6976,FRANCISCO DE ASSIS DE ALMEIDA DOS SANTOS,CHIQUINHO DA FEIRA,NAZARÉ,REPUBLICANOS,SUPLENTE,176,175.0,175.0,0.9943181818181818
18350,ERICO PEREIRA SILVA JUNIOR,JUNIOR BOLINHA,VITÓRIA DA CONQUISTA,PSD,NÃO ELEITO,302,300.0,300.0,0.9933774834437086
34735,ELIOMAR BARBOSA DO NASCIMENTO,ZOI DA PRATA,ITAMARAJU,REPUBLICANOS,SUPLENTE,302,300.0,1300.0,0.9933774834437086
31916,GEOVANE GONÇALVES PEREIRA,GEOVANE GONÇALVES,ITAETÉ,PSB,SUPLENTE,116,115.0,4615.0,0.9913793103448276
3668,RAUL LIMA DOS SANTOS,RAUL DO CAMPINHO,SANTA CRUZ CABRÁLIA,PP,SUPLENTE,304,301.0,711.9,0.9901315789473685
33441,IVAN SANTANA CUNHA,IVAN CUNHA,SALINAS DA MARGARIDA,PP,SUPLENTE,101,100.0,100.0,0.9900990099009901
16716,VALDETE DE SOUZA FERNANDES,DETINHA,CANUDOS,PSD,SUPLENTE,354,350.0,2772.5,0.9887005649717514
30634,EDMILSON MOTA SILVA,BOMBEIRO MOTTA,SIMÕES FILHO,PODE,SUPLENTE,1113,1100.0,1100.0,0.9883198562443846
8576,ISAILSON SANDE FERREIRA PEREIRA,ZAI MARRETA,BOA NOVA,PP,ELEITO POR QP,372,367.5,1370.0,0.9879032258064516
29991,JURACY DE JESUS SANTOS,JURACY DA CAÇAMBA,LAJE,PODE,SUPLENTE,213,210.0,210.0,0.9859154929577465
20523,LINDOMAR PEREIRA,LÍDIO,BREJOLÂNDIA,PL,ELEITO POR QP,457,450.0,450.0,0.9846827133479212
5705,LEANDRO SOUSA ROCHA,TEZIN DO POVO,VITÓRIA DA CONQUISTA,PC do B,SUPLENTE,414,407.33,2114.03,0.9838888888888888
2713,CHARLES BARRETO CAVALCANTE,POLICIAL CHARLES,BARRA DO MENDES,PSD,SUPLENTE,305,300.0,835.0,0.9836065573770492
9521,CARLOS ALBERTO PAULO DOS SANTOS,CARLOS BEL,SALVADOR,DC,SUPLENTE,305,300.0,2000.0,0.9836065573770492
6443,WILSON SOBRAL DOS SANTOS,SOBRAL DO JORDÃO,CAMAÇARI,PP,SUPLENTE,152,149.3,630.0,0.9822368421052632
758,JOSE ALMEIDA SANTOS,ZELINHO,MUCUGÊ,PDT,SUPLENTE,280,275.0,275.0,0.9821428571428571
3211,FERNANDA LEMOS PINTO,PROFESSORA FERNANDA,IGRAPIÚNA,PP,SUPLENTE,51,50.0,50.0,0.9803921568627451
2031,JOSE LUIZ CORDEIRO DE BRITO,ZE LUIZ,CANDEAL,DEM,SUPLENTE,204,200.0,300.0,0.9803921568627451
16209,JALSIVALDO SANTANA DE JESUS,MICKEY,SAUBARA,PT,ELEITO POR QP,306,300.0,300.0,0.9803921568627451
14109,JOCIMARA SANTOS SILVA,MOZITO DA SAÚDE,FEIRA DE SANTANA,PROS,SUPLENTE,204,200.0,200.0,0.9803921568627451
31779,DULCE AMORIM DE OLIVEIRA,DULCE AMORIM,ITABERABA,DEM,SUPLENTE,153,150.0,443.75,0.9803921568627451
16908,ALMIRANDO DE JESUS ROCHA,MIRANDA ROCHA,CÂNDIDO SALES,AVANTE,NÃO ELEITO,97,95.0,110.0,0.979381443298969
35818,LAERCIO RODRIGUES DE SOUZA,LAÉRCIO,CORAÇÃO DE MARIA,PT,ELEITO POR QP,451,441.5,915.0,0.9789356984478935
29861,UELINGTON LUIZ FERREIRA,ETO DE SEVERO,SÃO SEBASTIÃO DO PASSÉ,PSD,ELEITO POR QP,1022,1000.0,1000.0,0.9784735812133072
13172,LINDOMAR DA CUNHA SANTOS,LINDOMAR,QUEIMADAS,PT,SUPLENTE,184,180.0,200.0,0.9782608695652174
34658,EDEVALDO DA SILVA COSTA,EDEVALDO,PEDRÃO,PSD,ELEITO POR QP,297,290.0,674.44,0.9764309764309764
33639,ROBERTA CARVALHO OLIVEIRA SAMPAIO,RO,MILAGRES,PDT,ELEITO POR MÉDIA,256,248.89999999999998,248.89999999999998,0.9722656249999999
26201,GEOVANE DA SILVA ALVES,GEOVANE ALVES,SERRA PRETA,PTC,NÃO ELEITO,36,35.0,1089.0,0.9722222222222222
5554,ZILDO PACHECO DOS SANTOS,ZILDO PACHECO,ILHÉUS,DEM,SUPLENTE,530,514.7,868.7,0.9711320754716982
29282,JUNIO SOARES DOS SANTOS,JUNINHO JB,PORTO SEGURO,PROS,SUPLENTE,613,594.0,12118.0,0.9690048939641109
23983,ROMEU BATISTA PINTO JUNIOR,ROMEU JUNIOR,BARRA,PP,ELEITO POR QP,929,900.0,6250.0,0.9687836383207751
15588,SILAS SANTOS ARAUJO,SILAS DA SAÚDE,ITABUNA,PTC,SUPLENTE,831,805.0,805.0,0.9687123947051745
28980,RONALDO DE SOUZA,RONE,PIATÃ,PP,ELEITO POR QP,901,870.0,1870.0,0.9655937846836848
9353,JUCELINA CORREIA SANTOS,JUCELINA,ITATIM,PP,ELEITO POR QP,606,585.0,585.0,0.9653465346534653
10492,JULIMAR SANTOS MEIRA,JULIMAR DA VASCULHANTE,MIRANTE,PC do B,ELEITO POR MÉDIA,240,231.64999999999998,496.0,0.9652083333333332
16342,JACKSON DE JESUS ALVES,JAQUIM,POTIRAGUÁ,MDB,SUPLENTE,167,161.15,1161.15,0.9649700598802395
18668,GEOVAN DE JESUS SANTOS,LULU,RUY BARBOSA,PL,ELEITO POR QP,1555,1500.0,4462.5,0.9646302250803859
2563,GILBERTO ALVES DOS SANTOS,GILBERTO DO PEIXE,CAPIM GROSSO,PC do B,ELEITO POR MÉDIA,562,541.5,779.83,0.9635231316725978
3327,FELICIANO MENDONÇA DO CARMO,MOÇO,MURITIBA,PSD,SUPLENTE,364,350.0,350.0,0.9615384615384616
12899,ADAILTON DE JESUS GOIS,ADAILTON GOIS,EUCLIDES DA CUNHA,PDT,SUPLENTE,728,700.0,2200.0,0.9615384615384616
31035,MARCELO SILVA DE JESUS,MARCELO VALE FRUTTI,LAJE,PDT,ELEITO POR MÉDIA,219,210.0,210.0,0.958904109589041
29699,JAIRON  JESUS DOS REIS,JAIRON DA BANCA,JAGUARIPE,PP,SUPLENTE,261,250.0,255.0,0.9578544061302682
34236,WAGNER CANCELIERI,WAGUINHO DA BARRA,CARAVELAS,DC,SUPLENTE,251,240.0,701.5,0.9561752988047809
4843,REZELANIO DE ALMEIDA,REZELANIO,CANSANÇÃO,PT,SUPLENTE,278,265.53,265.53,0.9551438848920862
8584,WILSON ARRUDA DE OLIVEIRA NETO,NETO DE CRISTOVAL,BOA NOVA,PP,SUPLENTE,204,194.35,194.35,0.9526960784313725
25688,ORLANDO LIMA SOUTO,ORLANDO,TREMEDAL,PC do B,SUPLENTE,21,20.0,920.0,0.9523809523809523
18044,ANTONIO CARLOS OLIVEIRA FREITAS,ANTONIO CARLOS DA AMBULANCIA,ANDARAÍ,MDB,NÃO ELEITO,42,40.0,40.0,0.9523809523809523
30883,JUCELIA SOUSA COTIAS,JU,MAIRI,DEM,SUPLENTE,168,160.0,160.0,0.9523809523809523
14357,AGNALDO RAMOS DOS SANTOS,AGNALDO RAMOS,CAMACÃ,PP,SUPLENTE,105,100.0,100.0,0.9523809523809523
32664,ROBELIA SILVA MOURA,ROBELIA,ANDARAÍ,PSD,SUPLENTE,38,36.0,36.0,0.9473684210526315
21591,NICE LENE MIRANDA BARBOSA,NICE DO SINDICATO,TANQUINHO,PT,SUPLENTE,216,204.35,204.35,0.9460648148148147
16382,LUIZ CARLOS BRUNO DA SILVA,LUIZINHO DO MUCK,SOBRADINHO,PSB,ELEITO POR MÉDIA,296,280.0,280.0,0.9459459459459459
12438,MARIA MAXIMA SILVA DOS REIS,MAXIMA,BIRITINGA,PSB,SUPLENTE,74,70.0,70.0,0.9459459459459459
18521,ADIMAR VILELA FERREIRA,XUXA ELETRICISTA,MAIQUINIQUE,SOLIDARIEDADE,SUPLENTE,200,188.99999999999997,439.0,0.9449999999999998
25730,JAILTON GERALDO SANTOS,JAILTON LERES,JACOBINA,PP,SUPLENTE,265,250.0,2832.0,0.9433962264150944
9739,MISSINHO PERCILIO DE JESUS DOS SANTOS,MISSINHO MORAL,NILO PEÇANHA,PP,ELEITO POR MÉDIA,296,278.9,300.0,0.9422297297297296
1034,JOTA JUNIOR GONÇALVES,JUNINHO PROFESSOR,ADUSTINA,PSD,ELEITO POR QP,690,650.0,1350.0,0.9420289855072463
2368,FELIPE CESAR ALVES LIMA E SILVA,FELIPE DA BOMBONIERE,RODELAS,PC do B,ELEITO POR QP,637,600.0,900.0,0.9419152276295133
17267,ELIOMAR BARBUDA DE FREITAS,LICO DE MATARANDIBA,VERA CRUZ,PP,ELEITO POR MÉDIA,661,621.95,621.95,0.9409228441754918
11792,ANTÕNIO JORGE BIRINDIBA,JORGE DA COLÔNIA,NOVA VIÇOSA,PL,ELEITO POR QP,634,596.45,786.45,0.9407728706624606
35845,ANTONIO TADEU NASCIMENTO FERNANDES,CAPITÃO TADEU,SALVADOR,PROS,NÃO ELEITO,1603,1506.95,1620.0,0.94008109794136
8567,ROGERIO FERREIRA PIRES,ROGERIO FERREIRA,TANHAÇU,PP,SUPLENTE,467,438.83,1000.0,0.939678800856531
259,FABIO QUEIROZ ANDRADE SANTOS,FABIO ANDRADE,SANTA TEREZINHA,PSD,ELEITO POR QP,479,450.0,930.0,0.9394572025052192
34098,OSNILTON SALES DE CAMARGO,OSNILTON SALES CABEÇA,ITABUNA,PODE,NÃO ELEITO,426,400.0,627.5,0.9389671361502347
6741,LOURIVAL ALVES QUIRINO,LOURIVAL QUIRINO,JUAZEIRO,PC do B,ELEITO POR QP,1933,1813.0,2613.0,0.9379203310915675
29733,ANTONIO SANTOS NUNES,ANTONIO DAS CABRAS,JAGUARIPE,PL,SUPLENTE,279,261.5,2800.0,0.9372759856630825
35912,JORGE DA CRUZ VIEIRA,JORGE X,SALVADOR,PSOL,SUPLENTE,938,878.45,19433.22,0.9365138592750534
6346,GIVALDO PEREIRA DE OLIVEIRA,INDIO DA SERRARIA,JANDAÍRA,CIDADANIA,SUPLENTE,118,110.45,510.45,0.9360169491525424
18948,JORLANDO JOSÉ ROCHA DA PENHA,LANDE DA CAÇAMBA,POÇÕES,PTB,ELEITO POR QP,796,745.0,745.0,0.9359296482412061
35937,JOSEFA BERNARDA DE OLIVEIRA LINHARES,ZEFA DA ACADEMIA,ITAPICURU,PP,SUPLENTE,300,280.43,2641.35,0.9347666666666666
1946,MARCELO BARBOSA DOURADO,MARCELO DOURADO,BARRA DO CHOÇA,PSD,SUPLENTE,214,200.0,200.0,0.9345794392523364
5140,ELIANE DO NASCIMENTO NUNES,ELI DA GENTE,PAULO AFONSO,AVANTE,SUPLENTE,214,200.0,520.0,0.9345794392523364
24798,JEAN PORTO DE JESUS,DOQUINHA DA CASA DE FARINHA,IBICUÍ,PATRIOTA,NÃO ELEITO,158,147.5,150.0,0.9335443037974683
12599,RIBEMAR PEREIRA MOTA,RIBEMAR MOTA,BARROCAS,SOLIDARIEDADE,SUPLENTE,225,210.0,351.03999999999996,0.9333333333333333
19914,EDILEUZA NASCIMENTO SANTOS,EDILEUZA FILHA DE VÉI,BOM JESUS DA SERRA,PODE,SUPLENTE,74,69.0,69.0,0.9324324324324325
31708,JOSENILDO EVARISTO DE ARAUJO,PURUCA,ITAPARICA,PC do B,SUPLENTE,118,110.0,227.0,0.9322033898305084
4828,LEONARDO PIAUÍ DA SILVA,NADO DO VEICULO,CANSANÇÃO,PT,SUPLENTE,456,424.84000000000003,424.84,0.9316666666666668
22699,VALDECIR JOSE DE SOUZA,VALDECIR DA VALE VERDE,SÍTIO DO MATO,DEM,ELEITO POR QP,408,380.0,380.0,0.9313725490196079
1660,JOSÉ MARTINS DE OLIVEIRA,ZECA CABEÇA BRANCA,SERRA DOURADA,PSD,ELEITO POR QP,376,350.0,350.0,0.9308510638297872
3341,BRUNNO AUGUSTTO DOS SANTOS DA SILVA,BRUNNO AGUSTTO,MURITIBA,PSDB,SUPLENTE,223,206.95,206.95,0.9280269058295963
16148,JOSENILDO QUEIROZ TORRES,PEBA,TERRA NOVA,PTC,SUPLENTE,216,200.0,200.0,0.9259259259259259
33440,EDILSON CARLOS DOS SANTOS,BOLO,SALINAS DA MARGARIDA,PP,SUPLENTE,108,100.0,350.0,0.9259259259259259
9471,JOSÉ MARCELO CARDOSO DE SOUZA,MARCELO QUERIDINHO,UAUÁ,PDT,SUPLENTE,558,515.85,535.0,0.9244623655913979
10067,ALECIO SANTANA SIMOES,EXTERNET,ALAGOINHAS,PP,SUPLENTE,110,101.5,101.5,0.9227272727272727
7625,CRISTIANO SANTOS DE OLIVEIRA,CRISTIANO OLIVEIRA,SAPEAÇU,PSD,SUPLENTE,320,295.0,295.0,0.921875
18480,LUCIANO LOPES DE OLIVEIRA,PROF LUCIANO,MONTE SANTO,PC do B,SUPLENTE,551,507.5,517.5,0.9210526315789473
28315,GILÊNIO NUNES CALDEIRA,GILÊNIO,CATURAMA,PL,SUPLENTE,232,213.4,213.4,0.9198275862068965
9647,JOSEANE OLIVEIRA DO ESPIRITO SANTO SILVA,JOSY OLIVEIRA,SALVADOR,UP,NÃO ELEITO,372,341.76,7565.320000000001,0.9187096774193548
13173,BARBARA EDENE ANDRADE FREITAS TEIXEIRA,BARBARA,QUEIMADAS,PT,SUPLENTE,11,10.1,17.05,0.9181818181818181
3075,AUGUSTO DOS SANTOS,AUGUSTO DE MESSIAS,PEDRO ALEXANDRE,PP,ELEITO POR QP,416,381.9,381.9,0.9180288461538461
10440,EVONILDA COSTA SANTOS,NIL DE MIL,CONCEIÇÃO DO ALMEIDA,PTC,SUPLENTE,109,100.0,100.0,0.9174311926605505
31703,JOSE PEDRO ALVES,PROF PEDRO,ITAPARICA,PC do B,SUPLENTE,120,110.0,227.0,0.9166666666666666
12031,HELIO MARTINS DE SOUZA,HELIO MARTINS,BOA NOVA,PC do B,SUPLENTE,220,201.5,2384.0,0.9159090909090909
33851,JAMISSON OLIVEIRA CARDOSO,MENA,PARIPIRANGA,PSD,ELEITO POR QP,1893,1730.0,3730.0,0.9138932910723719
4416,MIRELLA DA SILVA MENDES ANDRADE,MIRELLA DA SAÚDE,VALENÇA,PMB,SUPLENTE,219,200.0,700.0,0.91324200913242
12679,MANOEL BAHIA DOS SANTOS JUNIOR,JUNIOR BAHIA,CURAÇÁ,PP,SUPLENTE,257,234.22,235.0,0.9113618677042802
31372,JOILSON BATISTA PALMEIRA JUNIOR,JUNIOR PAJEÚ,OURIÇANGAS,PSOL,SUPLENTE,33,30.0,626.25,0.9090909090909091
28979,ADELSON SILVA FERREIRA,ADELSON,PIATÃ,PP,SUPLENTE,209,190.0,1190.0,0.9090909090909091
21624,JOÃO FERREIRA LIMA NETO,JOÃO DE MILTON,TANQUINHO,MDB,ELEITO POR MÉDIA,209,190.0,190.0,0.9090909090909091
34957,MANOEL ANTONIO BARBOSA,MANOEL BARBOSA,SERRA DOURADA,DEM,NÃO ELEITO,330,300.0,300.0,0.9090909090909091
28316,JOSUÉ TRINDADE DA SILVA,DÉU DO BAR,CATURAMA,PL,SUPLENTE,236,213.4,213.4,0.9042372881355932
6037,GILDA MEIRE DE OLIVEIRA SOUZA PEREIRA,GILDA MEIRE,NOVA REDENÇÃO,PT,SUPLENTE,26,23.5,1421.0,0.9038461538461539
24203,NIVEA MARIA PINTO VIEIRA RABÊLO,NIVEA CABELEREIRA,BARRA,AVANTE,SUPLENTE,72,65.0,65.0,0.9027777777777778
17459,RENATA KARINY BRIZOLARA DE SOUZA,PRÓ KARINY DA URBIS,SERRINHA,PP,SUPLENTE,122,110.0,260.0,0.9016393442622951
941,PAULO OLIVEIRA DOS REIS,PAULINHO DA COMBI,CACHOEIRA,PODE,SUPLENTE,383,345.0,350.0,0.9007832898172323
17502,JERISVALDO CAETANO DOS SANTOS,BADE,ITAGI,PT,SUPLENTE,119,107.0,1007.0,0.8991596638655462
19907,ELI GOMES DA SILVA,ELI GOMES,BOM JESUS DA SERRA,PODE,SUPLENTE,109,98.0,298.0,0.8990825688073395
24612,WESLLEY OLIVEIRA SILVA,LELEZO,JITAÚNA,PP,ELEITO POR QP,587,527.5,527.5,0.8986371379897785
7372,MARILENE TELES DA SILVA,MARILENE DE TOIN,NOVA ITARANA,PSD,ELEITO POR QP,405,363.9,363.9,0.8985185185185185
25968,LAFAETE JOÃO DE SANTANA,LÉO DO SÃO CAETANO,CIPÓ,PP,SUPLENTE,156,140.0,0.0,0.8974358974358975
34124,EDSON FRANCISCO DA SILVA,EDSON DA LADEIRA GRANDE,NAZARÉ,PSD,ELEITO POR QP,591,529.0500000000001,982.0,0.8951776649746194
32860,NAILSON SANTOS DE ALMEIDA,BEU DO LIMOEIRO ,CONCEIÇÃO DA FEIRA,PODE,SUPLENTE,189,169.0,669.0,0.8941798941798942
21919,JOSE DE OLIVEIRA PORTO,ZE PORTO,WANDERLEY,PSD,SUPLENTE,229,204.7,204.7,0.8938864628820961
24248,JARDEL FELIX DEL REI GALO,JARDEL,URUÇUCA,DEM,ELEITO POR QP,1119,1000.0,1000.0,0.8936550491510277
7209,VALTO MARTINS DA SILVA,PASTOR VALTO,XIQUE-XIQUE,PSB,SUPLENTE,112,100.0,100.0,0.8928571428571429
16105,GERALDO SOUZA CARVALHO,GERALDO DO FORMOSO,CORIBE,PL,ELEITO POR QP,573,510.1,610.0,0.8902268760907505
23759,MADALENA SANTOS PASSOS OLIVEIRA,MADALENA PASSOS,PORTO SEGURO,PSL,NÃO ELEITO,135,120.0,500.0,0.8888888888888888
14578,JOSEFA GLAUCINEIDE OLIVEIRA SANTANA,NEIDE DE ADELSON,BUERAREMA,PSD,ELEITO POR QP,360,320.0,320.0,0.8888888888888888
3278,CRISTIANO GOMES DA SILVA,CRISTIANO DO QUIOSQUE,MURITIBA,REPUBLICANOS,SUPLENTE,394,350.0,350.0,0.8883248730964467
28985,JILSON ARAÚJO DA SILVA,JILSON,PIATÃ,PP,SUPLENTE,428,380.0,1380.0,0.8878504672897196
9192,RICARDO CONCEIÇÃO SANTOS,RICARDO DO LORETO,RIO REAL,PP,SUPLENTE,226,200.0,200.0,0.8849557522123894
5583,ALBERTINO SANTOS DE LIMA,NOCA DA BANANA,VITÓRIA DA CONQUISTA,PODE,SUPLENTE,505,446.4,1507.0,0.883960396039604
28986,REVERALDO SALUSTIANO MATOS,ZÉ DE CALU,PIATÃ,PP,SUPLENTE,215,190.0,1190.0,0.8837209302325582
34696,LINDOEL DA LUZ SANTOS,LINDOEL DO PENEDO,IBIRATAIA,PSB,SUPLENTE,146,129.0,129.0,0.8835616438356164
29544,ROBERTO MANOEL DIAS,ROBERTO DO OLHO D AGUA,POÇÕES,PSB,SUPLENTE,153,135.0,0.0,0.8823529411764706
18941,RENATA CORREIA PEREIRA,RENATA CORREIA,POÇÕES,PTB,SUPLENTE,153,135.0,0.0,0.8823529411764706
23696,GILBERTO CARLOS SILVA REIS,DUDA REIS,TANQUE NOVO,PP,ELEITO POR QP,488,430.0,1430.0,0.8811475409836066
33255,EDIVAL SILVA DE OLIVEIRA,VAL DA PISCINA,VÁRZEA NOVA,PSDB,SUPLENTE,194,170.89999999999998,170.9,0.8809278350515463
8273,EPIFANIO SANTOS MOREIRA,BILLY JHOW,SALVADOR,PMN,SUPLENTE,514,450.0,2500.0,0.8754863813229572
8682,GIVALDO OLIVEIRA REIS,DIL,BOA NOVA,PT,NÃO ELEITO,16,14.0,514.0,0.875
18562,JAIRON CORDEIRO DA SILVA,JAIRON CORDEIRO,VITÓRIA DA CONQUISTA,PTC,SUPLENTE,343,300.0,300.0,0.8746355685131195
24272,BENEDITA NATANAELDA RODRIGUES PINTO,ELDA RODRIGUES,LUÍS EDUARDO MAGALHÃES,PSD,SUPLENTE,229,200.0,1636.95,0.8733624454148472
14070,DANILO SANTANADE SOUZA,DANILO SANTANA,SANTA TEREZINHA,PSOL,ELEITO POR MÉDIA,232,201.95,501.95,0.8704741379310345
30316,HAMILTON LEMOS VIANA,HAMILTON VIANA,ARATUÍPE,PSD,SUPLENTE,161,140.0,150.0,0.8695652173913043
15449,JOSÉ NOBRE OLIVEIRA SANTOS,JOSÉ NOBRE,WAGNER,PSDB,ELEITO POR QP,460,400.0,400.0,0.8695652173913043
10444,ROSEMEIRE SANTOS SILVA,ROSINHA,SANTA TEREZINHA,PP,ELEITO POR QP,460,400.0,400.0,0.8695652173913043
25689,DANIEL MAGNAVITA SOUTO,DANIEL MAGNAVITA,TREMEDAL,PC do B,ELEITO POR QP,419,363.9,1318.46,0.8684964200477326
16046,GEILZA SANTANA RIOS,GEILZA DO PONTO NOVO,RIACHÃO DO JACUÍPE,PP,SUPLENTE,173,150.0,700.0,0.8670520231213873
19209,EDUARDO LEITE DE ARAUJO,EDUARDO NET,SENHOR DO BONFIM,REPUBLICANOS,SUPLENTE,440,381.4,450.0,0.8668181818181818
10586,DERALDO JOSE ARAUJO,DERALDO DA SAUDE,CONCEIÇÃO DO ALMEIDA,PSD,ELEITO POR MÉDIA,312,270.0,280.0,0.8653846153846154
34438,GILVAN LUZ DOS SANTOS,FRANGO POLICIAL,IAÇU,MDB,SUPLENTE,290,250.35,250.35,0.8632758620689654
18476,JOSELENO JESUS DOS SANTOS,JUCA DO JENIPAPO,SAÚDE,PDT,ELEITO POR QP,371,320.0,1180.0,0.862533692722372
5189,JESSE FONSECA DA SILVA,JESSE JÚNIOR,PAULO AFONSO,SOLIDARIEDADE,SUPLENTE,464,400.0,400.0,0.8620689655172413
30878,ESMERALDINA ANTUNES DOS SANTOS,QUINHA,MAIRI,DEM,SUPLENTE,186,160.0,160.0,0.8602150537634409
13841,JOSÉ MÁXIMO DOS SANTOS FILHO,ZEZINHO GATO PRETO,ENTRE RIOS,DEM,ELEITO POR MÉDIA,407,350.0,350.0,0.85995085995086
27409,JOSELITO JESUS DE SOUSA,NEM DO TIMBÓ,ESPLANADA,DEM,SUPLENTE,291,250.0,250.0,0.8591065292096219
7424,ANTONIO DE JESUS DA CRUZ,TOI DO SINDICATO,SÃO MIGUEL DAS MATAS,PSDB,ELEITO POR MÉDIA,326,280.0,280.0,0.8588957055214724
31917,PATRÍCIA VASCONCELOS DE ALMEIDA,PATRÍCIA GALEGA,ITAETÉ,PSB,SUPLENTE,134,115.0,615.0,0.8582089552238806
1165,RITA APARECIDA SOARES,CIDA DE LERIM,CONDEÚBA,PSB,SUPLENTE,350,300.0,3356.9300000000003,0.8571428571428571
31105,MARIO MARCOS REGIS PIMENTEL,MARIO MARCOS,CATOLÂNDIA,MDB,SUPLENTE,35,30.0,163.95,0.8571428571428571
21994,CECILIA SILVA CONCEIÇÃO,CECILIA DO OLEIRO,ANTÔNIO CARDOSO,PSDB,ELEITO POR QP,520,445.0,445.0,0.8557692307692307
26564,IVONILDO SOUZA SANTOS DA SILVA,NILDO DA MATA DAS COVAS,AMARGOSA,PROS,SUPLENTE,469,400.95000000000005,401.95,0.854904051172708
26725,ÁLVARO FERRAZ SOBRINHO,ÁLVARO FERRAZ,CARINHANHA,PT,SUPLENTE,352,300.0,2406.3599999999997,0.8522727272727273
33633,VALDINEI RODRIGUES DOS SANTOS,NEY ENFERMEIRO,IAÇU,PP,SUPLENTE,352,300.0,300.0,0.8522727272727273
21109,ANTONIO FERNANDO FERREIRA OLIVEIRA,FERNANDO OLIVEIRA VETERINÁRIO,SALVADOR,PSL,SUPLENTE,1174,1000.0,1000.0,0.8517887563884157
17801,JOAQUIM RENER DOS SANTOS JUNIOR,JOAQUIM JUNIOR,SALVADOR,SOLIDARIEDADE,SUPLENTE,587,499.99999999999994,500.0,0.8517887563884156
8459,GILDETE DE SOUZA CRUZ DA SILVA,PASTORA GILDETE SILVA ,SALVADOR,PL,SUPLENTE,235,200.0,200.0,0.851063829787234
15051,MANOEL OLIVEIRA SOARES,NEO DO SÃO LOURENÇO,TEIXEIRA DE FREITAS,PSC,SUPLENTE,47,40.0,1105.0,0.851063829787234
24459,ALBINO MARTINS DOS SANTOS,BINO,SANTO ANTÔNIO DE JESUS,PSD,SUPLENTE,561,476.95,476.95,0.8501782531194295
5331,FLORISVALDO JESUS DA CRUZ,FLOR,LAURO DE FREITAS,PL,ELEITO POR QP,1177,1000.0,3550.0,0.8496176720475785
18907,GABRIEL MARCELINO DE JESUS,GABRIEL MARCELINO,ITAPETINGA,PSB,SUPLENTE,33,28.0,723.0,0.8484848484848485
21585,LEILA CRISTINA COSTA CORDEIRO,LEILA DA SAÚDE,TANQUINHO,PT,ELEITO POR QP,225,190.0,190.0,0.8444444444444444
16660,IRAN DO NASCIMENTO MENDES,IRAN,ITUBERÁ,PP,ELEITO POR QP,391,330.0,490.0,0.8439897698209718
26404,RENATO DE JESUS GOMES,RENATO DA KATIARA,AMARGOSA,PT,ELEITO POR QP,447,377.0,1430.0,0.843400447427293
32658,EDINORMAN SANTOS DE JESUS,EDI,ANDARAÍ,PSD,ELEITO POR QP,402,339.0,500.0,0.8432835820895522
16100,ODILON PATRICIO DE JESUS OLIVEIRA,IRMÃO PATRICIO,CORIBE,PL,SUPLENTE,392,330.1,330.1,0.8420918367346939
2792,RAIMUNDO FIUZA DA CONCEIÇÃO,RAIMUNDO DE GINO,CRUZ DAS ALMAS,DEM,SUPLENTE,481,405.0,405.0,0.841995841995842
14255,LEANDRO SOUZA DOS SANTOS,LEANDRO DO BREJO,BONITO,PP,SUPLENTE,246,206.95,607.0,0.841260162601626
23688,SEBASTIÃO CARDOSO PIMENTA,TIAO DE POMPILHO,TANQUE NOVO,PP,ELEITO POR QP,862,725.0,1725.0,0.8410672853828306
32714,GILBERTO MONTE SANTOS NETO,GIBA DO CAPÃO,PALMEIRAS,PT,ELEITO POR QP,290,243.89999999999998,243.9,0.8410344827586206
32598,SUDIVALDO ALVES DE LIMA,SEU DIAS,IRARÁ,MDB,SUPLENTE,276,231.95,231.95,0.8403985507246376
32329,ARLINDO ALMEIDA SANTOS,LEO DA CABORONGA,IRARÁ,PT,SUPLENTE,67,56.25,276.25,0.8395522388059702
759,EDSON DOS ANJOS SILVA,EDI DE ZE DE DITO,MUCUGÊ,PDT,ELEITO POR MÉDIA,298,250.0,250.0,0.8389261744966443
16997,ARIOSVALDO PINHEIRO DE SOUZA,ARI DO CAMINHÃO,BURITIRAMA,PP,ELEITO POR QP,587,490.0,1940.0,0.8347529812606473
36500,JOILSON FERREIRA PEREIRA,JOILSON DE DONA NARCIZIA,MUCURI,AVANTE,NÃO ELEITO,12,10.0,10.0,0.8333333333333334
31605,SEBASTIÃO KAROL DE OLIVEIRA,SEBASTIÃO KAROL,TEIXEIRA DE FREITAS,PROS,NÃO ELEITO,156,130.0,2590.0,0.8333333333333334
