,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
19303,EDCARLOS JOSE DOS SANTOS,BISPO EDCARLOS,PORTO SEGURO,DEM,SUPLENTE,200,0.0,2000.0,0.0
17805,VIRGINIA MORAIS SANTOS DE SOUZA,VIRGÍNIA MORAIS,SALVADOR,SOLIDARIEDADE,SUPLENTE,173,0.0,0.0,0.0
19305,DIVANILDO COUTINHO SANTOS,SAL TURISMO,PORTO SEGURO,DEM,SUPLENTE,35,0.0,500.0,0.0
19306,ARIANA PAIXAO DOS SANTOS,ARIANA PAIXAO,PORTO SEGURO,DEM,SUPLENTE,18,0.0,0.0,0.0
19307,JOAO SILVA NASCIMENTO,JOAO DO POVO,PORTO SEGURO,DEM,SUPLENTE,192,0.0,1500.0,0.0
19276,JOSÉ ROBERTO DE JESUS,ROBERTINHO MOTORISTA,PORTO SEGURO,PDT,NÃO ELEITO,21,0.0,0.0,0.0
19274,ANGELA MOREIRA ROCHA,ÂNGELA MOREIRA,PORTO SEGURO,PDT,NÃO ELEITO,2,0.0,0.0,0.0
17818,MARIA CLAÚDIA DE OLIVEIRA,CLAUDINHA OLIVER,SALVADOR,SOLIDARIEDADE,SUPLENTE,129,0.0,0.0,0.0
17811,MARCELA RIBEIRO DE JESUS,MARCELA RIBEIRO,SALVADOR,SOLIDARIEDADE,SUPLENTE,36,0.0,0.0,0.0
17817,TONI FRANK BRITTO SANTOS,TONI FRANK,SALVADOR,SOLIDARIEDADE,SUPLENTE,57,0.0,0.0,0.0
17816,NELMA DE JESUS BARRETO,PROFESSORA CB NELMA,SALVADOR,SOLIDARIEDADE,SUPLENTE,347,0.0,0.0,0.0
17815,JOSE AUGUSTO SANTOS DAMASCENO,J AUGUSTO,SALVADOR,SOLIDARIEDADE,SUPLENTE,255,0.0,0.0,0.0
17814,OSVALDO SILVA DOS SANTOS,CAJÁ,SALVADOR,SOLIDARIEDADE,SUPLENTE,382,0.0,0.0,0.0
19245,ARLIR DOS SANTOS TRINDADE,ARLIR,UNA,DEM,SUPLENTE,5,0.0,351.39,0.0
19246,GILVAN FRANCISCO DOS SANTOS,GILVAN DO AÇOUGUE,UNA,DEM,SUPLENTE,144,0.0,351.39,0.0
17813,ITALO ANTONIO SOUZA LEMOS,ITALO LEMOS,SALVADOR,SOLIDARIEDADE,SUPLENTE,159,0.0,0.0,0.0
19248,IRAN SANTOS DA CRUZ,IRAN DE CAETANO,UNA,DEM,SUPLENTE,32,0.0,351.39,0.0
17812,UILLIAM GONÇALVES DAMASCENO,UILLIAN DE OXALA,SALVADOR,SOLIDARIEDADE,SUPLENTE,142,0.0,0.0,0.0
19250,ALAN CRUZ DA SILVA,ALAN ENGENHEIRO,UNA,DEM,SUPLENTE,61,0.0,351.39,0.0
19251,GEFFERSON DOS SANTOS DE JESUS,GEFINHO DA DENGUE,UNA,DEM,SUPLENTE,81,0.0,351.39,0.0
19252,JADSON SANTANA,JADSON,UNA,DEM,SUPLENTE,45,0.0,351.39,0.0
19253,REJANE FERREIRA NASCIMENTO,IRMÃ REJANE DA ASSEMBLEIA,UNA,DEM,SUPLENTE,15,0.0,351.39,0.0
19255,TAYNÁ CALAZANS TOURINHO,TAYNÁ,UNA,DEM,SUPLENTE,2,0.0,351.39,0.0
19273,LUANDA DE SOUZA SANTANA,LUANA,PORTO SEGURO,PDT,NÃO ELEITO,4,0.0,0.0,0.0
19256,MARCOS ANTONIO CARVALHO TOURINHO,MARCOS TOURINHO,UNA,DEM,SUPLENTE,206,0.0,351.39,0.0
19257,CARLOS SILVA DE OLIVEIRA,CARLÃO DO GUARANÁ,UNA,DEM,SUPLENTE,108,0.0,351.39,0.0
19259,VANDERLEI DE OLIVEIRA CERQUEIRA,DERLEY,UNA,DEM,SUPLENTE,114,0.0,351.39,0.0
17810,JOSIDALVA BATISTA DOS SANTOS MIRANDA,JOSIDALVA BATISTA,SALVADOR,SOLIDARIEDADE,SUPLENTE,115,0.0,0.0,0.0
19262,JOSE NILTON DOS SANTOS,GAROTINHO ZÉ NILTON,PORTO SEGURO,PDT,NÃO ELEITO,102,0.0,0.0,0.0
19263,JOSÉ ALBERTO DE ARAUJO SILVA,PAPAI NOEL,PORTO SEGURO,PDT,NÃO ELEITO,2,0.0,0.0,0.0
19264,ELIZA PEREIRA DOS SANTOS,BAIANA FAFÁ,PORTO SEGURO,PDT,NÃO ELEITO,20,0.0,0.0,0.0
